,H,diameter,albedo,rot_per,diameter_sigma,epoch,e,a,q,i,om,w,ma,ad,n,tp,per,moid,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms,neo_flag,pha_flag,class_var
0,3.34,939.4,0.09,9.07417,0.2,2458600.5,0.07600902762923671,2.769165146349478,2.558683596230681,10.59406732590292,80.30553084093981,73.59769486239257,77.37209773768207,2.979646696468275,0.2138852268564227,2458238.7541287453,1683.145700575484,1.59478,2.09753,3.309,1.172e-11,2.5823e-11,5.6278e-11,1.9267e-09,1.1722e-08,1.1463e-08,3.8719e-09,2.7786e-11,2.9918e-12,1.327e-08,2.3543e-08,0.36954,0,0,C
1,4.13,545.0,0.101,7.8132,18.0,2458600.5,0.2303368122519394,2.772465922815752,2.13386496007724,34.83623460557907,173.0800618276949,310.0488584525203,59.69913098405375,3.411066885554264,0.2135033769950547,2458320.8832003768,1686.155999342055,1.23324,1.85493,3.043,3.3707e-08,4.1378e-09,9.3154e-08,3.7128e-06,6.4634e-06,9.5186e-06,9.1517e-06,5.0909e-09,4.7797e-10,4.2568e-05,3.7748e-06,0.35911,0,0,B
2,5.33,246.596,0.214,7.21,10.594,2458600.5,0.2569423149737984,2.669149515649107,1.983332060087033,12.98891943923851,169.8527548037533,248.1386297217077,34.92501898650092,3.354966971211181,0.2260188812382131,2458445.9774273937,1592.787284087904,1.03454,2.18657,3.298,3.2676e-08,3.7685e-09,8.7261e-08,3.5292e-06,1.7902e-05,1.9082e-05,8.6339e-06,4.7367e-09,4.7866e-10,3.8028e-05,3.3732e-06,0.31378,0,0,S
3,3.2,525.4,0.4228,5.34212766,0.2,2458600.5,0.08872145950956178,2.361417895877277,2.151909453643047,7.141770811873426,103.810804427096,150.7285412870121,95.86193620017684,2.570926338111508,0.2716094015313151,2458247.5595801924,1325.432764736216,1.13948,2.46988,3.535,2.3717e-10,1.5403e-09,1.9617e-09,2.2072e-07,3.9411e-07,1.805e-07,1.2275e-06,1.6769e-09,2.6574e-10,4.1741e-06,1.2968e-06,0.39592,0,0,V
4,6.85,106.699,0.274,16.806,3.14,2458600.5,0.191094522814835,2.574248918285955,2.082324049639495,5.366988177936237,141.5765957220505,358.6876128146665,282.3662912620402,3.066173786932414,0.2386317716345598,2458925.8284682343,1508.60045807858,1.09589,1.9604,3.396,2.4345e-08,4.5689e-09,6.2247e-08,2.8131e-06,2.973e-05,3.066e-05,9.054e-06,5.4419e-09,6.353e-10,3.8278e-05,4.0163e-06,0.49752,0,0,S
5,5.71,185.18,0.2679,7.2745,2.9,2458600.5,0.2030071057382805,2.425159990868159,1.932835280169739,14.73790068157333,138.6402040860603,239.8074896057582,86.19792168692148,2.917484701566579,0.2609717402740113,2458270.2040009145,1379.459705568168,0.973965,2.6358,3.439,2.0567e-08,3.0397e-09,5.0172e-08,2.2906e-06,1.1797e-05,1.3726e-05,7.752e-06,3.6568e-09,4.9065e-10,2.9502e-05,2.5935e-06,0.39825,0,0,S
6,5.51,199.83,0.2766,7.139,10.0,2458600.5,0.2312057882091302,2.38533381395173,1.833830829355129,5.523651438133126,259.5632326380281,145.265103459468,140.4196553603943,2.93683679854833,0.2675348279194212,2458075.6350452113,1345.619195824584,0.8461,2.47021,3.493,2.0047e-08,2.1478e-09,4.7778e-08,2.613e-06,2.6599e-05,2.7269e-05,7.0694e-06,2.6444e-09,3.6134e-10,2.5964e-05,1.8174e-06,0.36591,0,0,S
9,5.43,407.12,0.0717,27.63,6.8,2458600.5,0.1124606578329963,3.141539178476305,2.788239615856729,3.831560260844386,283.2021663567859,312.315207696501,152.1848508422612,3.494838741095881,0.1770069641572149,2457740.732410816,2033.818283444788,1.77839,1.53558,3.197,1.6377e-08,6.9628e-09,5.1029e-08,2.1883e-06,2.8718e-05,3.0405e-05,1.1128e-05,7.7459e-09,5.8847e-10,6.1608e-05,6.7616e-06,0.53109,0,0,C
10,6.55,142.887,0.191,13.7204,1.008,2458600.5,0.1004722627546813,2.45310938059135,2.206639930338603,4.629886722119001,125.5465851222689,195.5503976663632,278.9306853688023,2.699578830844098,0.2565244139467473,2458916.529626124,1403.375197164405,1.19322,2.54671,3.483,3.2426e-08,2.717e-09,8.0157e-08,3.6601e-06,2.558e-05,2.8815e-05,1.2788e-05,2.99e-09,4.2618e-10,4.9975e-05,2.3315e-06,0.44295,0,0,S
11,7.24,115.087,0.163,8.6599,1.199,2458600.5,0.2201715667202758,2.334315089265638,1.820365278843242,8.37307433147402,235.4101835262568,69.64180604042276,133.3358878139632,2.848264899688034,0.2763534290978856,2458118.0167963384,1302.67969236049,0.824953,2.43133,3.522,2.5972e-08,2.8237e-09,6.0913e-08,2.5866e-06,2.0106e-05,2.101e-05,7.7152e-06,3.4454e-09,5.0144e-10,2.7407e-05,2.3637e-06,0.5201,0,0,L
12,6.74,222.792,0.07,7.045,7.87,2458600.5,0.08512141377834759,2.575981091694859,2.356709939303502,16.53612293574766,43.2219168881917,80.54483120895175,187.4885068952582,2.795252244086217,0.2383911164633375,2459324.1490002815,1510.123386058998,1.43633,2.35787,3.364,3.3657e-08,4.2856e-09,8.6503e-08,4.0952e-06,1.3182e-05,2.7576e-05,2.3776e-05,4.6504e-09,5.9491e-10,9.9851e-05,3.7686e-06,0.55571,0,0,C
14,5.28,231.689,0.248,6.083,2.234,2458600.5,0.18608436148409,2.64410030461289,2.152074587729113,11.75242984775453,292.9343384257299,98.49868110305854,283.3876975527824,3.136126021496668,0.2292383028888663,2458934.7037586286,1570.418186940279,1.19485,2.41808,3.339,2.7175e-08,3.642e-09,7.1376e-08,2.5431e-06,1.4056e-05,1.5702e-05,7.6304e-06,4.3197e-09,4.7363e-10,3.3651e-05,3.2446e-06,0.54684,0,0,S
15,5.9,226.0,0.1203,4.196,23.0,2458600.5,0.1335684622017801,2.923813696198208,2.533284397032511,3.096005212498105,150.0456496278164,228.8230967648907,288.3358774669384,3.314342995363905,0.1971421686413659,2458964.0149345617,1826.093333968033,1.5358,2.14428,3.263,3.1268e-08,8.1876e-09,8.9722e-08,3.9834e-06,7.037e-05,7.2201e-05,1.7229e-05,9.2812e-09,8.2809e-10,8.7903e-05,7.6705e-06,0.32792,0,0,X
16,7.76,84.899,0.193,12.27048,2.027,2458600.5,0.1330316129616815,2.470354068488832,2.141718882171311,5.591204655582279,125.5529504163442,136.2082543777479,303.3643694423456,2.798989254806354,0.2538430446303848,2458823.612792553,1418.199188889292,1.12981,2.27528,3.466,2.8055e-08,3.6554e-09,6.9058e-08,2.9865e-06,2.6678e-05,2.8154e-05,9.8897e-06,4.1417e-09,5.6342e-10,3.9149e-05,3.1478e-06,0.51527,0,0,S
17,6.51,139.594,0.181,11.57,2.452,2458600.5,0.2176743745990289,2.296653511018973,1.796730894337254,10.12873159571224,150.3838568328796,227.9508521986118,267.2543794968664,2.796576127700692,0.2831788766968288,2458928.016026566,1271.281262922078,0.813258,2.69306,3.542,3.1806e-08,2.6604e-09,7.2763e-08,3.8354e-06,2.0215e-05,2.1958e-05,9.8739e-06,3.2395e-09,4.9205e-10,3.5174e-05,2.209e-06,0.41806,0,0,S
19,6.5,135.68,0.241,8.098,3.674,2458600.5,0.1420666830983617,2.409781788983322,2.067432083231626,0.7087510069467414,206.1088074291358,256.7733123775827,117.6951184917533,2.752131494735019,0.2634738374065692,2458153.794855952,1366.359573092945,1.08461,2.37907,3.506,2.2196e-08,3.5847e-09,5.3565e-08,2.4466e-06,0.00019206,0.00019225,8.928e-06,4.094e-09,5.8791e-10,3.3629e-05,3.0489e-06,0.52248,0,0,S
20,7.35,95.76,0.2212,8.1655,4.1,2458600.5,0.1633561017492255,2.434958097689246,2.037192834928021,3.064054163192655,80.86580310843537,249.916931000493,344.2934821177674,2.83272336045047,0.259398126993848,2458661.0498507805,1387.828062492286,1.02791,2.50926,3.485,3.0313e-08,4.557e-09,7.4355e-08,3.8096e-06,6.4371e-05,6.5738e-05,1.5922e-05,5.3014e-09,7.282e-10,6.1485e-05,3.896e-06,0.37057,0,0,X
