"","X.1","X","H","diameter","albedo","rot_per","diameter_sigma","epoch","e","a","q","i","om","w","ma","ad","n","tp","per","moid","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","neo_flag","pha_flag","class_var"
"2",2,1,4.13,545,0.101,7.8132,18,2458600.5,0.230336812251939,2.77246592281575,2.13386496007724,34.8362346055791,173.080061827695,310.04885845252,59.6991309840538,3.41106688555426,0.213503376995055,2458320.88320038,1686.15599934206,1.23324,1.85493,3.043,3.3707e-08,4.1378e-09,9.3154e-08,3.7128e-06,6.4634e-06,9.5186e-06,9.1517e-06,5.0909e-09,4.7797e-10,4.2568e-05,3.7748e-06,0.35911,0,0,"B"
"4",4,3,3.2,525.4,0.4228,5.34212766,0.2,2458600.5,0.0887214595095618,2.36141789587728,2.15190945364305,7.14177081187343,103.810804427096,150.728541287012,95.8619362001768,2.57092633811151,0.271609401531315,2458247.55958019,1325.43276473622,1.13948,2.46988,3.535,2.3717e-10,1.5403e-09,1.9617e-09,2.2072e-07,3.9411e-07,1.805e-07,1.2275e-06,1.6769e-09,2.6574e-10,4.1741e-06,1.2968e-06,0.39592,0,0,"V"
"8",8,9,5.43,407.12,0.0717,27.63,6.8,2458600.5,0.112460657832996,3.14153917847631,2.78823961585673,3.83156026084439,283.202166356786,312.315207696501,152.184850842261,3.49483874109588,0.177006964157215,2457740.73241082,2033.81828344479,1.77839,1.53558,3.197,1.6377e-08,6.9628e-09,5.1029e-08,2.1883e-06,2.8718e-05,3.0405e-05,1.1128e-05,7.7459e-09,5.8847e-10,6.1608e-05,6.7616e-06,0.53109,0,0,"C"
"11",11,12,6.74,222.792,0.07,7.045,7.87,2458600.5,0.0851214137783476,2.57598109169486,2.3567099393035,16.5361229357477,43.2219168881917,80.5448312089517,187.488506895258,2.79525224408622,0.238391116463337,2459324.14900028,1510.123386059,1.43633,2.35787,3.364,3.3657e-08,4.2856e-09,8.6503e-08,4.0952e-06,1.3182e-05,2.7576e-05,2.3776e-05,4.6504e-09,5.9491e-10,9.9851e-05,3.7686e-06,0.55571,0,0,"C"
"25",25,30,6.74,267.08,0.053,5.53,2.611,2458600.5,0.220857024974142,3.15540230360639,2.45850953823533,26.3033445302053,31.1185728719851,61.4703917254406,87.1671452430197,3.85229506897745,0.175841737553395,2458104.78637446,2047.29551134403,1.56992,1.95722,3.011,3.157e-08,6.7571e-09,9.9521e-08,4.4181e-06,8.1041e-06,1.3069e-05,9.7316e-06,8.2495e-09,5.6483e-10,5.4521e-05,6.5763e-06,0.5147,0,0,"C"
"28",28,33,8.51,132.992,0.052,12.15,1.033,2458600.5,0.105948046949128,2.68738341132637,2.40266038749285,5.49601683246763,184.36129724784,330.676150866894,126.686965758446,2.97210643515988,0.223722480490729,2458034.23162375,1609.13645875171,1.41435,2.02034,3.359,2.2977e-08,5.8399e-09,6.1518e-08,2.5556e-06,3.6166e-05,3.9926e-05,1.6744e-05,6.4586e-09,7.2925e-10,7.4703e-05,5.2452e-06,0.50264,0,0,"C"
"29",29,34,8.5,103.055,0.066,31.9,1.201,2458600.5,0.22558816482042,2.99407183575742,2.3186446649884,7.93271223271286,353.738941464017,213.396728234454,215.250242035902,3.66949900652644,0.190243904150356,2459361.36410553,1892.30767528551,1.31998,1.34373,3.202,3.2032e-08,7.2564e-09,9.5956e-08,4.056e-06,2.615e-05,2.7436e-05,9.2964e-06,8.8934e-09,6.9161e-10,5.0188e-05,6.8793e-06,0.48,0,0,"C"
"31",31,37,8.32,92.255,0.055,12.838,0.49,2458600.5,0.154982529732223,2.73945492963342,2.31488727455142,6.97097521338227,295.720024093473,169.31242478933,4.92871691643314,3.16402258471541,0.21737411876079,2458577.82610973,1656.13092327777,1.33232,1.97467,3.322,3.995e-08,7.3336e-09,1.0961e-07,4.3111e-06,3.3216e-05,3.551e-05,1.4109e-05,8.4701e-09,8.7287e-10,6.4865e-05,6.6502e-06,0.47099,0,0,"C"
"34",34,40,7.12,205.495,0.059,5.988,1.881,2458600.5,0.275417532502502,2.76043870799242,2.00016549041275,15.7921005371799,178.086737037136,45.8957275428796,134.349198973748,3.52071192557208,0.214900245166699,2457975.32994089,1675.19585527111,1.02633,1.56613,3.233,1.9625e-08,5.8492e-09,5.478e-08,2.0372e-06,9.1501e-06,1.0455e-05,7.0486e-06,7.4601e-09,6.8304e-10,3.1068e-05,5.3244e-06,0.46648,0,0,"C"
"38",38,44,7.46,202.327,0.045,5.699,2.168,2458600.5,0.0844383741575282,2.72088262713294,2.49113572182437,6.60352655719412,147.608419018687,88.1680208572479,38.3648225766407,2.95062953244151,0.219603553013133,2458425.79962721,1639.31773899155,1.4906,2.06419,3.344,3.4073e-08,6.3505e-09,9.4516e-08,3.4351e-06,3.2498e-05,3.8528e-05,2.0782e-05,6.8867e-09,7.6882e-10,9.4547e-05,5.7392e-06,0.48129,0,0,"C"
