"","diameter","albedo","a","q","n","per","moid","t_jup","sigma_a","class_var"
"2",545,0.101,2.77246592281575,2.13386496007724,0.213503376995055,1686.15599934206,1.23324,3.043,4.1378e-09,"B"
"4",525.4,0.4228,2.36141789587728,2.15190945364305,0.271609401531315,1325.43276473622,1.13948,3.535,1.5403e-09,"V"
"8",407.12,0.0717,3.14153917847631,2.78823961585673,0.177006964157215,2033.81828344479,1.77839,3.197,6.9628e-09,"C"
"11",222.792,0.07,2.57598109169486,2.3567099393035,0.238391116463337,1510.123386059,1.43633,3.364,4.2856e-09,"C"
"25",267.08,0.053,3.15540230360639,2.45850953823533,0.175841737553395,2047.29551134403,1.56992,3.011,6.7571e-09,"C"
"28",132.992,0.052,2.68738341132637,2.40266038749285,0.223722480490729,1609.13645875171,1.41435,3.359,5.8399e-09,"C"
"29",103.055,0.066,2.99407183575742,2.3186446649884,0.190243904150356,1892.30767528551,1.31998,3.202,7.2564e-09,"C"
"31",92.255,0.055,2.73945492963342,2.31488727455142,0.21737411876079,1656.13092327777,1.33232,3.322,7.3336e-09,"C"
"34",205.495,0.059,2.76043870799242,2.00016549041275,0.214900245166699,1675.19585527111,1.02633,3.233,5.8492e-09,"C"
"38",202.327,0.045,2.72088262713294,2.49113572182437,0.219603553013133,1639.31773899155,1.4906,3.344,6.3505e-09,"C"
"41",216.473,0.065,3.11008809630146,2.88478124621928,0.179698742237322,2003.35292010314,1.90839,3.205,8.5876e-09,"C"
"42",166.252,0.048,3.10504561652924,2.41551735870542,0.180136656119081,1998.48275057364,1.42463,3.18,8.8201e-09,"C"
"43",84.074,0.05,2.64879384868213,1.89127714162208,0.228629272872861,1574.60151745395,0.891422,3.33,4.5633e-09,"C"
"45",303.918,0.057,3.09309139080242,2.75170917886355,0.181181956720909,1986.95282088459,1.76943,3.202,7.1361e-09,"C"
"50",106.517,0.044,2.70007575902195,2.58456009224901,0.222146844768034,1620.54968809443,1.58633,3.361,8.3114e-09,"C"
"58",71.82,0.0618,2.64606356977526,2.18845189199761,0.228983222802188,1572.16758325999,1.1999,3.369,6.5738e-09,"C"
"61",127.911,0.038,2.61590930218408,2.14393080522236,0.232953934853734,1545.36990425182,1.1631,3.355,8.8085e-09,"C"
